STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,order,STUSPS,orderReg
72,1,1,72001,Puerto Rico,1,PR,1
31,39,835841,31039,Cuming,2,NE,285
53,69,1513275,53069,Wahkiakum,3,WA,320
35,11,933054,35011,De Baca,4,NM,263
31,109,835876,31109,Lancaster,5,NE,2
31,129,835886,31129,Nuckolls,6,NE,292
46,99,1265772,46099,Minnehaha,7,SD,280
48,327,1383949,48327,Menard,8,TX,143
6,91,277310,6091,Sierra,9,CA,383
21,53,516873,21053,Clinton,10,KY,202
39,63,1074044,39063,Hancock,11,OH,218
48,189,1383880,48189,Hale,12,TX,144
1,27,161539,1027,Clay,13,AL,114
48,11,1383791,48011,Armstrong,14,TX,144
39,3,1074015,39003,Allen,15,OH,218
13,189,348794,13189,McDuffie,16,GA,78
55,111,1581115,55111,Sauk,17,WI,246
5,137,69902,5137,Stone,18,AR,155
41,63,1155135,41063,Wallowa,19,OR,330
42,7,1214112,42007,Beaver,20,PA,197
28,61,695754,28061,Jasper,21,MS,122
29,83,758496,29083,Henry,22,MO,341
8,109,198170,8109,Saguache,23,CO,270
37,37,1008544,37037,Chatham,24,NC,68
49,33,1448030,49033,Rich,25,UT,304
40,1,1101788,40001,Adair,26,OK,151
39,85,1074055,39085,Lake,27,OH,215
51,775,1789074,51775,Salem,28,VA,169
51,121,1674630,51121,Montgomery,29,VA,165
47,65,1639749,47065,Hamilton,30,TN,3
35,35,929104,35035,Otero,31,NM,264
35,3,929108,35003,Catron,32,NM,264
1,91,161572,1091,Marengo,33,AL,113
56,23,1605076,56023,Lincoln,34,WY,374
29,11,758460,29011,Barton,35,MO,344
48,57,1383814,48057,Calhoun,36,TX,138
51,735,1498436,51735,Poquoson,37,VA,174
54,75,1550044,54075,Pocahontas,38,WV,188
48,77,1383824,48077,Clay,39,TX,145
51,95,1480135,51095,James City,40,VA,174
31,101,835872,31101,Keith,41,NE,294
31,137,835890,31137,Phelps,42,NE,293
22,19,558468,22019,Calcasieu,43,LA,133
22,111,559528,22111,Union,44,LA,136
40,135,1101855,40135,Sequoyah,45,OK,151
1,49,161550,1049,DeKalb,46,AL,115
36,101,974148,36101,Steuben,47,NY,206
42,53,1213669,42053,Forest,48,PA,196
22,105,559500,22105,Tangipahoa,49,LA,129
51,179,1480173,51179,Stafford,50,VA,176
26,109,1622997,26109,Menominee,51,MI,220
18,73,450494,18073,Jasper,52,IN,228
13,25,351605,13025,Brantley,53,GA,79
13,171,326713,13171,Lamar,54,GA,84
18,151,450390,18151,Steuben,55,IN,230
48,361,1383966,48361,Orange,56,TX,140
39,47,1074036,39047,Fayette,57,OH,217
25,15,606934,25015,Hampshire,58,MA,367
21,3,516848,21003,Allen,59,KY,203
37,1,1008531,37001,Alamance,60,NC,68
20,73,485003,20073,Greenwood,61,KS,303
25,25,606939,25025,Suffolk,62,MA,4
16,51,399751,16051,Jefferson,63,ID,316
48,177,1383874,48177,Gonzales,64,TX,138
47,115,1639770,47115,Marion,65,TN,94
26,7,1622946,26007,Alpena,66,MI,221
