"","intpassRegBin","unemplyReg","smokeReg","ageGE65Reg","intMIGReg","AApopReg"
"1",0,3.8,22.6,13.9120376207166,1037.4,4.03071326758983
"2",1,3.6,26.4,17.5768489593341,382.6,19.4282693695357
"3",1,2.9,22.4,11.9728411945712,9945.6,22.4495621181005
"4",0,5.7,29.4,13.6184832943285,15.2,4.69557513412413
"5",0,5.4,26,9.32168568616957,688.2,69.1742085507382
"6",0,4.4,20.1,12.440553136706,4864.8,53.9682475608427
"7",0,2.5,18.1,11.5025228929172,1895.4,21.8817290182422
"8",1,4.2,24.1,16.6206963705503,17184.4,28.4666325502802
"9",1,4.2,27.5,16.202988710765,452.6,35.5554805273731
"10",1,4.4,21.5,16.4549413769986,564.6,1.16386496431621
"11",0,3.6,24.8,15.6441861780682,3716.4,4.96388091647614
"12",1,6.9,27.9,18.4970960251658,51.4,2.14652214834381
"13",1,3.5,15.2,10.0414258216216,212,1.3299238743354
"14",1,4.7,25.3,11.7539344472792,2145.2,9.35670743578539
"15",0,5.9,23.5,12.1435536795951,3473.8,46.9419925259095
"16",1,4.7,15,11.0904924915448,857.6,5.55161560490625
"17",1,5.1,24.2,14.6350357002702,14864.8,23.5558995420695
"18",0,3.8,24.8,13.1880428178667,638.6,47.7748930903046
"19",1,4.6,22.8,15.1736954364989,9525,5.47002254159876
"20",0,3.7,30.4,16.533226581265,379.2,28.7158330070969
"21",0,3.3,24.2,13.285442271075,322.2,29.8931965351947
"22",1,4.1,28.5,21.8998148007205,-18,1.95426646420049
"23",1,4.8,25.3,13.0101608806097,1743,11.0835831867847
"24",1,3.2,21.5,15.5028989160575,1504.6,29.5146203499549
"25",0,5.2,21.5,10.4689099533473,993.2,3.31794453999578
"26",1,3.7,16.9,10.8583564759989,4010,1.83252216041149
"27",0,5,16,10.3100908346889,206.2,4.50864499814356
"28",1,2.2,16.4,10.613377343477,1847.8,8.96321445365245
"29",1,3.4,24.6,20.4786911637064,23.8,0.89757855658733
"30",1,2.5,25.3,13.6664723650045,1865.6,15.0783005200428
"31",0,3.2,12.3,12.5915150358906,144.6,0.750413467946977
"32",0,4.4,27,14.9294107701412,161.4,52.6570909968419
"33",0,4.6,21.5,12.1614355482732,316,1.16256611650058
"34",1,4.2,20.2,15.6733748338174,515.2,0.968473596896153
"35",1,6.8,18,11.9078152588049,61.8,1.08346864609913
"36",0,3.1,26.4,15.8312360704852,747.6,8.83632736718656
"37",1,5.4,20.4,13.2148884788079,19635.4,6.28931282783322
"38",1,4.5,20.7,11.6873025214405,4023.2,44.1385768889776
"39",1,4,26.8,11.1989708123699,702.6,41.5799374572462
"40",0,3.9,23.2,21.258786048335,295.4,1.92754232889511
"41",1,4.3,23.7,13.5823776080294,1463.4,53.5351465573823
"42",1,2.7,22.8,18.4499092169493,518.2,2.91499395072591
"43",1,2.8,25.6,12.2432272046689,3190,27.3661327130758
"44",1,3.4,10.6,7.72243588610331,1064,0.607174310683558
"45",1,2.7,25.4,14.3929298537849,1535.2,10.0785493037286
"46",1,3.4,21.2,17.0490161110394,4550,4.00973593641169
"47",0,4,14.8,11.9422013209793,589.2,1.35721545643217
"48",0,8.8,25.5,14.1562560683539,3.8,0.235586676264642
"49",1,5.6,21.9,12.7564943069751,871,6.28958966973914
"50",0,3.9,13.3,11.4981949458484,26.2,0.311240703731612
"51",1,6.3,25.1,19.0839844132448,-27.8,0.68867584901132
"52",1,2.6,17.1,9.29138503133833,1901.6,7.46086518513903
"53",1,3.2,25.5,15.85727286516,564.6,42.6891067023089
"54",0,3.7,26.5,17.0226935095538,66.4,37.4163100673614
"55",1,4.6,21.5,13.0625062383391,2510.2,10.6524405854829
"56",1,5.4,30.4,20.6545712480743,54.6,7.24839803995477
"57",0,5.4,27.2,24.133152538332,47.8,0.974087799733408
"58",1,4.8,25.4,13.8152292328388,1469.8,6.67996371417938
"59",1,4.1,20,9.15931165691562,78.8,0.527728771956739
"60",1,4.4,23.6,15.4452659087356,187.8,50.1818074537368
"61",0,3.1,23.7,14.2171399123479,948.8,19.0453974918636
"62",0,6.12142857142857,27.2428571428571,20.917985478283,172.8,33.3718845775747
"63",1,4.35555555555556,27.2222222222222,18.1398841105387,590,27.8788844518913
"64",1,5.13,27.15,13.700970033324,4200,25.5518981451909
"65",1,4.86666666666667,29.0888888888889,17.9607230707979,889,18.1651702504528
"66",1,5.18888888888889,27.8777777777778,14.7807600514947,1280.4,29.4324191633885
"67",1,4.16666666666667,26.6555555555556,16.0182006021183,3690,25.9717942442867
"68",1,4.04545454545454,27.7545454545455,13.8669754822171,6189,21.105740381465
"69",1,4.29,28.76,18.2785684017233,716.6,13.9314921278906
"70",1,4.34545454545455,28.2909090909091,21.7345366264168,364,5.39605705352602
"71",0,4.825,28.7,25.6845631072057,88.2,1.84472885331861
"72",1,4.025,29.5416666666667,20.9307185563928,599.4,33.9044594207368
"73",0,3.68181818181818,26.6636363636364,17.9662199276815,1252.8,29.7733158545472
"74",1,3.35,27.7666666666667,15.9269773303161,1910.2,29.1723661446827
"75",1,3.21818181818182,27.9909090909091,17.2220624326308,2238,18.3842119113325
"76",1,4.3125,25.775,14.7080107505315,881.6,31.6376010902651
"77",1,5.70769230769231,26.7692307692308,15.0192478288572,424,40.3717215846444
"78",1,4.73125,28.2375,14.9703749271515,312.6,23.5736271033302
"79",1,5.01,27.44,14.6873153590198,238.8,31.8343783124142
"80",1,4.85714285714286,26.5357142857143,16.6483275915706,180,43.1717606839568
