"","x"
"1",0.123404847486288
"2",0.0592109721827703
"3",0.078143369671618
"4",0.0559537520398122
"5",0.0715358288806514
"6",0.0745387979634222
"7",0.0935051269090008
"8",0.109935776232112
"9",0.0631484652527173
"10",0.101724743312219
"11",0.0738583267752796
"12",0.0579277681554942
"13",0.0639925687648908
"14",0.0142877344647542
"15",0.0297062416299783
"16",-0.0602188984323153
"17",0.0696136505830536
"18",-0.0328260670739103
"19",0.0359328520600648
"20",0.0535626065778831
"21",0.0669553137922847
"22",0.0132076575419109
"23",0.0330270774753722
"24",0.0276326004267374
"25",0.0518859343196747
"26",0.0345889544532885
"27",0.0572922897476895
"28",0.0227480101602848
"29",0.01567691942695
"30",-0.00955395054188014
"31",-9.7493373299511e-05
"32",-0.050028782965695
"33",-0.038548924676328
"34",-0.0280158883203951
"35",-0.0917846674505168
"36",-0.05227567576145
"37",-0.0611852806313466
"38",-0.0542938527137565
"39",-0.0970817600659344
"40",-0.108677953369418
"41",-0.0494320183033753
"42",-0.0971934110272394
"43",-0.0653329620922946
"44",-0.0475609915973783
"45",-0.0482688095089874
"46",-0.000290127620405971
"47",-0.0435512044050593
"48",-0.0446142584188626
"49",-0.0314415992991017
"50",-0.0282966697785846
"51",-0.0276234327978234
"52",-0.0605953078419205
"53",-0.0378186275643677
"54",-0.0218370821744016
"55",-0.0153299730310958
"56",-0.0127666534410949
"57",-0.0085661715843839
"58",0.0140794234406012
"59",-0.00989140698082209
"60",0.000474697828414909
"61",0.00507983345043749
"62",0.0401260058487646
"63",0.0308674718598801
"64",0.0305148904134269
"65",0.043685394096333
"66",0.0421940512895596
"67",0.0312623994356789
"68",0.0479456372639063
"69",0.0600587949438132
"70",0.0226449528864408
"71",0.047191569864464
"72",0.0134053910177401
"73",0.07100948703868
"74",0.058701977609955
"75",0.0342058791256143
"76",0.0215986032578125
"77",0.00657499484669173
"78",0.0138650448430333
"79",-0.0837531807613724
"80",-0.0274055564324193
"81",-0.111194812502487
"82",-0.0330101237415094
"83",-0.0891398267188474
"84",-0.0401985831240181
"85",-0.0567796224267944
"86",-0.0245540806516756
"87",-0.0614870486883775
"88",-0.0197652952156078
"89",-0.0437506418971843
"90",-0.0637833953102927
"91",-0.0467956269688396
"92",-0.0278669982318152
"93",-0.0314362099461153
"94",-0.0618835749704024
"95",-0.0303317449419953
