"","x"
"1",-0.0362841265444701
"2",-0.0164443451204835
"3",-0.0318833736324115
"4",-0.0216690678023561
"5",-0.0229323730719367
"6",-0.0194378427426427
"7",0.020884088395421
"8",-0.0119722672852698
"9",-0.00718957303529712
"10",0.00347129456889939
"11",0.00262363307391708
"12",-0.00323926239184752
"13",-0.000461786660585472
"14",-0.00124123703232543
"15",0.000934997183828508
"16",-0.00322722678250734
"17",0.00471023886438239
"18",0.0172312593519603
"19",-0.00343808221850769
"20",0.00268978083963278
"21",0.00549691794321696
"22",-0.00932622409300974
"23",0.00847095080981051
"24",0.0122696165665233
"25",0.00799084664719207
"26",0.00992041655906777
"27",0.00576478526246977
"28",0.0117721201782315
"29",0.0104704805155925
"30",0.0245179022087057
"31",-0.000775150631174636
"32",0.0155377271184255
"33",0.0184330645974296
"34",0.00636187195745916
