"","x"
"1",-0.0461369927296352
"2",-0.0177126583742744
"3",-0.042008928420657
"4",-0.0197067504886477
"5",-0.0305375012955998
"6",-0.0313557510383426
"7",0.0191507487730763
"8",-0.0027820145089439
"9",-0.00546520786996563
"10",-0.00532238208126284
"11",-0.00941382193202951
"12",-0.0135622484250975
"13",-0.0106219583017831
"14",-0.00969410284478243
"15",-0.0067564927543145
"16",-0.0127838409151702
"17",-0.00915878487960761
"18",0.0182816015799552
"19",-0.0151609708088281
"20",-0.00335490689127396
"21",0.00624671883070167
"22",-0.00234029486454322
"23",0.0157046052948582
"24",0.0223576316195554
"25",0.0247341111444787
"26",0.0186110128591785
"27",0.0152649057658426
"28",0.0231594902245212
"29",0.0197956220588766
"30",0.0173674131666185
"31",0.0151078328821356
"32",0.0323831927274225
"33",0.022182457303251
"34",0.0236858915083562
