"","x"
"1",0.0606843145801693
"2",0.0510753690046697
"3",0.00254995626934419
"4",0.0226491491955041
"5",0.0497459688893189
"6",0.069747382792691
"7",0.0251582917334994
"8",0.0566789197775857
"9",0.0770368654938363
"10",0.0373197514569202
"11",0.0277227171738062
"12",0.0605660239754717
"13",-0.0131307227292282
"14",-0.0215663268331379
"15",-0.00936095674493751
"16",-0.0510349142185079
"17",-0.0249297805820484
"18",0.0298293413351391
"19",0.00444106446055692
"20",0.00806243383238425
"21",0.00464903872041973
"22",0.00496931925671749
"23",0.023557624840647
"24",0.00042241041264541
"25",0.0297515826071292
"26",0.0395985308411499
"27",-0.019987132609123
"28",-0.0123860687564054
"29",-0.0333029148785766
"30",-0.033465933521067
"31",-0.0233298157750878
"32",-0.0420867334648395
"33",-0.0295208991068094
"34",-0.0293901006676716
"35",-0.0210743948181998
"36",-0.0294677383769781
"37",-0.0585179198622303
"38",-0.0635764888125073
"39",-0.089951775404567
"40",-0.065220317514438
"41",-0.0899740550299312
"42",-0.0768989886860335
"43",-0.048347831297705
"44",-0.0648395807845808
"45",-0.0758901581396597
"46",-0.109054134012613
"47",-0.0736761112830989
"48",-0.0756135553957596
"49",-0.117042859815345
"50",-0.076662524593698
"51",-0.114073451690348
"52",-0.186484805008157
"53",-0.0755853747291916
"54",-0.051563703613898
"55",-0.0415090453240498
"56",-0.0612695728120371
"57",-0.0594433797595986
"58",-0.0276095006402969
"59",-0.0744651181844473
"60",-0.0692748633576846
"61",-0.0635007403384581
"62",-0.0679589627838215
"63",-0.0914449650244676
"64",-0.0770334828184628
"65",-0.057775462563144
"66",-0.0423922016871051
"67",-0.0540928390213059
"68",-0.0219841116971984
"69",-0.00969664718497552
"70",0.000751683873561871
"71",0.000606878697497394
"72",0.00361117630459054
"73",0.0122956692589693
"74",0.00518694829456344
"75",0.0106505941584435
"76",0.0195299690868485
"77",0.0236909844298169
"78",0.00840427460275653
"79",0.0260871370188141
"80",0.00779268879354081
"81",0.0287482818403702
"82",-0.00389985530404742
"83",0.0220822176208347
"84",0.015393679889128
"85",-0.00723552575971877
"86",-0.0112586708170026
"87",-0.0126683510493427
"88",0.0164207539824038
"89",0.0152660532692432
"90",-0.0122591752476476
"91",-0.0055143839657845
"92",-0.00841136914812366
"93",0.0399715730789713
"94",0.0048720856835256
"95",0.00619270444467373
"96",0.000318503574088031
"97",0.0336316404796383
"98",0.0356415175577982
"99",0.0291112132279311
"100",0.0268854210541749
"101",0.0293279728753374
"102",-0.0274010693917239
"103",-0.0239041354913948
"104",-0.0202502531720954
"105",-0.0169277010148342
"106",-0.0150024696700258
"107",-0.0316539295055542
"108",-0.0403307147063282
"109",-0.0372804719008554
"110",-0.0387329254618267
"111",-0.0346304509756521
"112",-0.018818139784455
"113",-0.0122734321095938
"114",-0.0201554714118105
"115",0.00910223900354517
"116",-0.0102814582981519
"117",0.0040477886121884
"118",-0.0145806554081056
"119",0.0306382542715093
"120",0.0346227314150247
"121",0.0463357707262111
"122",-0.0247315565758299
"123",-0.0253424639278339
"124",-0.00176501991787441
"125",0.00382883881117846
"126",0.00266070818274533
"127",0.00794160408256614
"128",0.0136365133438682
"129",0.0011028583196004
"130",0.031025337128444
"131",0.03719039296369
"132",0.0597449179663852
"133",0.0608860173871569
"134",0.0423495652360797
"135",0.0579667618767623
"136",0.0498028018877503
"137",0.0344287821546571
"138",0.0472709221223739
"139",0.0804200170501337
"140",0.0600567229213233
"141",0.122957325326834
"142",0.104560494052334
"143",0.124288832229977
"144",0.0857335695947541
"145",0.0870008751067098
"146",0.076456588555157
"147",0.0467437491296017
"148",0.057714989801994
"149",0.0873557085374114
"150",0.0595888182238151
"151",0.0188192970352048
"152",0.0537633217353787
"153",0.0209695050224839
"154",0.00537188896291738
"155",0.0345013583768704
"156",0.0189200747892039
"157",0.0161575280950678
"158",0.0131970122574011
"159",0.00426095283648549
"160",0.049280385162083
"161",0.0817382725018745
"162",0.0484365417679521
"163",0.087531917433738
"164",0.0830963265526763
