"","x"
"1",-0.490199018679124
"2",-0.551521477568677
"3",-0.581191431168644
"4",-0.493470559734087
"5",-0.581933587726372
"6",-0.490118920653073
"7",-0.47284204353031
"8",-0.452524358777775
"9",-0.477707916861464
"10",-0.360094124086012
"11",-0.450639767738699
"12",-0.411694018699951
"13",-0.325897131419748
"14",-0.384835004327684
"15",-0.407641448765645
"16",0.0838804649039734
"17",-0.0669668489456924
"18",-0.124632783033684
"19",-0.0479958495399498
"20",-0.11346301147898
"21",-0.051823833059574
"22",0.0253172023450411
"23",0.0436073280920086
"24",0.00790594785006872
"25",0.0925828902370153
"26",0.126432667291686
"27",0.194420268078186
"28",0.066709569502683
"29",0.0521893609818921
"30",0.130312337730716
"31",0.294661686242429
"32",0.0863096857072203
"33",0.264407613594582
"34",0.341702915894761
"35",0.408862307527875
"36",0.274712894008736
"37",0.323231657442626
"38",0.303851118615991
"39",0.192416834852314
"40",0.376631112929995
"41",0.361441096554098
"42",0.336393608836838
"43",0.342643717379208
"44",0.538064583850119
"45",0.392465970584266
"46",0.384436011484899
"47",0.504389166781679
"48",0.45195938224655
"49",0.436275367722706
"50",0.524796914867348
"51",0.467993833502311
"52",0.364335965283352
"53",0.318834809320479
"54",0.314447721582594
"55",0.392293632467492
"56",0.348100966763739
"57",0.317231542931644
"58",0.298621358233017
"59",0.369285795028321
"60",0.226234627545068
"61",0.237947371379875
"62",0.192741759179491
"63",0.166030041033839
"64",0.15803463377445
"65",0.162265602654233
"66",0.144131201394372
"67",0.134282814589033
"68",0.103213724539979
"69",0.105293839068169
"70",0.105052335716467
"71",0.119045506679602
"72",0.127731518725412
"73",0.136357172072016
"74",0.108527124652798
"75",0.106224691045405
"76",0.109589596974525
"77",0.0990064277853141
"78",0.089270915426244
"79",0.0854929767868049
"80",0.0856069186919635
"81",0.0795728908707379
"82",0.0974751301972989
"83",0.0739483297524308
"84",0.0602810916443591
"85",0.0764670333673734
"86",0.0853909215853134
"87",0.0513324849287834
"88",0.0567211982356182
"89",0.0498025862639356
"90",0.0223214539965813
"91",0.037757992444122
"92",0.0152915016459273
"93",0.0134126694796741
"94",0.0089145679692881
"95",-0.171441672622477
"96",-0.173741536018661
"97",-0.213910658318086
"98",-0.192895320311403
"99",-0.165802063038142
"100",-0.158583567495704
"101",-0.120144455690025
"102",-0.151758958382831
"103",-0.151643954096781
"104",-0.157518012174788
"105",-0.150423616234999
"106",-0.124653677797488
