"","x"
"1",0.090910147543877
"2",0.0927755671807476
"3",0.0420391408874389
"4",-0.00452568393886749
"5",0.0033250119467298
"6",0.0271474622013296
"7",0.0514997532943691
"8",0.075577126991118
"9",0.0491586887003638
"10",0.0810949412449588
"11",0.0992670444371093
"12",0.13962692645225
"13",0.105143740784776
"14",0.061666603255964
"15",0.0687218757596093
"16",0.0780499875569434
"17",0.0973921282665711
"18",-0.0230619204433906
"19",-0.0104409949206843
"20",0.0560455804477458
"21",-0.0867437864733376
"22",-0.0184383620983189
"23",0.00940577279747775
"24",0.0129462797685429
"25",0.00897949662106908
"26",0.0139579437122891
"27",0.0526656307752449
"28",-0.00208528717803599
"29",-0.0379573733199701
"30",-0.00112836499303242
"31",-0.0394240489110241
"32",-0.0438888938640678
"33",-0.0118014676089575
"34",-0.0449651417693529
"35",-0.0332789498596927
"36",-0.0299379611689888
"37",-0.0693498996032467
"38",-0.0406836169511603
"39",-0.109673255429643
"40",-0.101430064441931
"41",-0.104703018379241
"42",-0.0642286832225111
"43",-0.0613547150281684
"44",-0.112017777132164
"45",-0.0119077487354493
"46",-0.0156892344736513
"47",-0.0450259184347182
"48",-0.0430367257745826
"49",-0.0130689693141398
"50",-0.0234623791730067
"51",-0.013598770986134
"52",-0.0567443743642158
"53",-0.0452033480230352
"54",-0.0547012310513184
"55",-0.0858351136281554
"56",-0.0565924015636175
"57",-0.0857414753156114
"58",-0.0733938696419121
"59",-0.0907545520275518
"60",-0.0573561603303605
"61",-0.0255570639672729
"62",-0.0210558845876246
"63",-0.0509284701836271
"64",-0.021020462138891
"65",-0.0422500511174741
"66",-0.0044249124097767
"67",0.0131590717697711
"68",0.0265918680783566
"69",0.0199820142288838
"70",0.00614975102814301
"71",-0.0362164101602405
"72",-0.0532248124966301
"73",-0.0686125004171764
"74",-0.037159767593756
"75",0.0101592419493372
"76",0.00979828223912169
"77",0.00947246919669006
"78",0.00531757288859305
"79",0.0372112714148332
"80",0.0455732235076337
"81",0.0347770205323618
"82",0.044865958490927
"83",0.0272763091242371
"84",0.0653417196757509
"85",0.048872090239294
"86",0.0958166140319907
"87",0.00529960415354445
"88",0.0887623298143336
"89",0.0877696172925033
"90",0.0169657987283275
"91",0.0147794001371154
"92",0.11292752994689
"93",-0.0107912684585053
"94",0.0508955756771085
"95",0.0204972843244292
"96",-0.0207047522055859
